City,Price,Beds,Baths,SqFt,Type,Location
Pomona,2700,3,2,1100,House,LA
Costa Mesa,3595,2,1.5,1100,Condo,OC
Corona,1500,1,1,1100,Condo,IE
Tustin,3200,3,2,1100,Condo,OC
Artesia,3500,4,1,1085,House,LA
Garden Grove,3325,3,2,1081,House,OC
Artesia,3350,3,2,1075,House,LA
Anaheim,2650,2,2,1050,Condo,OC
Glendora,2875,3,2,1032,House,LA
Arcadia,2495,2,2.5,1031,Condo,LA
Long Beach,3195,2,2,1028,House,LA
Pasadena,2900,3,1,1025,House,LA
Anaheim,2400,2,1,1010,House,OC
Foothill Ranch,2750,1,1,1000,Condo,OC
Stanton,2950,2,1.5,1000,Condo,OC
Costa Mesa,3295,3,1,1000,House,OC
Santa Ana,2700,2,2,1000,Condo,OC
Trabuco Canyon,2500,2,2,980,Condo,OC
Aliso Viejo,3250,2,2,976,Condo,OC
Huntington Beach,10000,2,2,968,Condo,OC
Corona,2199,2,2,941,Condo,IE
Temple City,2800,2,2,925,House,LA
Lake Forest,2250,2,1,921,Condo,OC
Covina,2350,2,2,915,Condo,LA
Tustin,2995,2,2,910,Condo,OC
Santa Ana,2195,2,2,910,Condo,OC
San Dimas,1900,2,1,900,House,LA
Cerritos,2500,3,1,867,Condo,LA
Fullerton,2010,2,1,860,House,OC
Norwalk,950,1,1,848,Condo,LA
Fullerton,2250,1,1.5,831,Condo,OC
La Verne,2600,2,2,800,House,LA
Rancho Santa Margarita,2650,2,2,763,Condo,OC
Fountain Valley,2200,1,1,727,Condo,OC
Ontario,2000,2,1,700,House,IE
Altadena,2350,1,1,661,Condo,LA
Rancho Santa Margarita,2600,2,1,658,Condo,OC
Hacienda Heights,1600,1,1,650,House,LA
Ontario,2000,2,1,616,House,IE
Rancho Santa Margarita,2100,1,1,600,Condo,OC
Garden Grove,1995,1,1,581,Condo,OC
Downey,1800,1,1,500,House,LA
