inspection_id,inspection_date,inspector,facility_type,past_fail,past_critical,past_serious,years_since_last,age_at_inspection,tobacco_license,alcohol_license,daily_high_temp,burglary_intensity,sanitation_complaints,garbage_requests,critical_found
509498,2012-01-10,orange,Restaurant,0,0,0,2,2.126027397260274,FALSE,FALSE,44.01333333333333,3.9734997473991913,0.4299542665580101,10.625098745633498,0
509523,2012-01-31,orange,Grocery_Store,0,0,0,0.3561643835616438,5.958904109589041,FALSE,FALSE,42.03333333333333,58.75106842601983,19.373788892500965,27.45377503087264,0
509526,2012-02-03,orange,Restaurant,0,0,0,2,3.126027397260274,FALSE,FALSE,48.31666666666666,17.464723959894304,42.4732267496326,13.900575351502017,0
509529,2012-02-03,orange,Restaurant,0,0,0,2,1.7835616438356163,FALSE,FALSE,48.31666666666666,38.81568743973754,43.81943379258895,21.903444711417958,1
517672,2012-01-03,blue,Restaurant,0,0,0,2,5.3863013698630136,FALSE,FALSE,37.949999999999996,20.680881935536455,18.605718341421436,9.749927207180258,1
517677,2012-01-05,blue,Restaurant,0,0,0,2,5.6438356164383565,FALSE,FALSE,34.153333333333336,7.950504107181466,10.491148113873075,1.1736145433489495,1
517678,2012-01-05,blue,Restaurant,0,0,0,2,5.6438356164383565,FALSE,FALSE,34.153333333333336,17.201274930161507,27.02937941154373,8.166018240953333,3
517682,2012-01-09,blue,Restaurant,0,0,0,2,2.76986301369863,FALSE,FALSE,46.71666666666666,9.942612295884018,49.514901704741796,10.308478365518296,0
517683,2012-01-09,blue,Restaurant,0,0,0,2,2.164383561643836,FALSE,TRUE,46.71666666666666,9.642182655821788,50.647450353938446,10.085070801523095,1
517684,2012-01-09,blue,Restaurant,0,0,0,2,5.654794520547945,FALSE,TRUE,46.71666666666666,10.104365219645018,48.75127197234076,10.4430516621281,2
517694,2012-01-19,blue,Restaurant,0,0,0,2,5.926027397260274,FALSE,TRUE,36.31333333333333,27.969387562493978,16.28713293484779,16.180727637086363,1
517697,2012-01-23,blue,Restaurant,0,0,0,2,5.252054794520548,FALSE,FALSE,31.53333333333333,23.547749289830836,10.392831175904975,6.141011898364078,0
517698,2012-01-23,blue,Restaurant,0,0,0,2,5.120547945205479,FALSE,TRUE,31.53333333333333,24.0633782234666,39.42435938528598,8.113386675214404,0
517701,2012-01-23,blue,Restaurant,0,0,0,2,3.8273972602739725,FALSE,TRUE,31.53333333333333,48.63250202565333,12.979450873242557,10.744483607653313,1
517704,2012-01-24,blue,Restaurant,0,0,0,2,4.235616438356164,FALSE,TRUE,39.22333333333333,48.22729225761093,13.092120840946409,10.829129979789665,0
517712,2012-01-26,blue,Restaurant,0,0,0,2,5.945205479452055,FALSE,FALSE,38.82666666666666,37.273907772293505,26.2841614385055,10.375171624527157,0
517716,2012-01-30,blue,Grocery_Store,0,0,0,2,3.808219178082192,FALSE,FALSE,38.25333333333333,26.57269538294943,74.68454525617854,6.774869500374627,1
517718,2012-01-31,blue,Restaurant,0,0,0,2,5.463013698630137,FALSE,FALSE,42.03333333333333,28.12870567863267,38.89567732051159,4.0295957978562145,0
517722,2012-01-31,blue,Restaurant,0,0,0,2,5.463013698630137,FALSE,TRUE,42.03333333333333,17.035230145047638,13.625651348327974,8.162261239141978,0
517726,2012-02-02,blue,Restaurant,0,0,0,2,5.468493150684932,FALSE,TRUE,52.133333333333326,27.9372314057786,14.51966981148218,3.2594623391120465,1
517727,2012-02-03,blue,Other,0,0,0,2,5.967123287671233,FALSE,FALSE,48.31666666666666,53.229744674382005,6.422943055950215,8.415827975469131,1
517737,2012-02-09,blue,Restaurant,0,0,0,2,5.013698630136986,FALSE,FALSE,33.86000000000001,26.93723630956099,8.3581745615717,2.743450891360267,1
517739,2012-02-10,blue,Restaurant,0,0,0,2,3.126027397260274,FALSE,FALSE,34.586666666666666,18.79341533487268,62.4080840656763,2.590046500804728,0
517743,2012-02-24,blue,Restaurant,0,0,0,2,5.528767123287671,FALSE,TRUE,39.75,30.762629466400824,21.896332217169423,4.266714473236009,0
519339,2012-01-09,purple,Restaurant,0,0,0,2,5.402739726027397,FALSE,FALSE,46.71666666666666,42.71338637929474,41.1830557850968,5.6272507933417,3
519340,2012-01-10,purple,Restaurant,0,0,0,2,5.405479452054794,FALSE,FALSE,44.01333333333333,17.970219191069145,12.97904612069574,15.659546283675988,1
519343,2012-01-18,purple,Other,0,0,0,2,5.67945205479452,FALSE,FALSE,39.71333333333334,13.572863794092463,23.319654328026854,55.401520947053996,0
519344,2012-01-18,purple,Restaurant,0,0,0,2,1.115068493150685,FALSE,FALSE,39.71333333333334,44.527832529286236,2.1047368949450824,9.431015625639022,0
519347,2012-01-20,purple,Restaurant,0,0,0,2,5.432876712328767,FALSE,FALSE,30.906666666666666,3.0567291293064467,21.15894541697028,2.5050621680100122,3
519348,2012-01-20,purple,Restaurant,0,0,0,2,0.4821917808219178,FALSE,FALSE,30.906666666666666,12.711248402677981,31.88924821325033,12.34922115467472,0
519350,2012-01-23,purple,Restaurant,0,0,0,2,5.189041095890411,FALSE,FALSE,31.53333333333333,13.252112155741887,17.67564095394343,10.959560780799524,0
519353,2012-01-23,purple,Restaurant,0,0,0,2,3.8273972602739725,FALSE,FALSE,31.53333333333333,51.59895619913155,52.800369906974424,12.589633854778539,2
519356,2012-01-24,purple,Restaurant,0,0,0,2,4.153424657534247,FALSE,FALSE,39.22333333333333,51.821727239758715,46.681981270830285,16.102898310296336,2
